rule_id,dass42_id,prefix,level,conjunction
1,13,no_prefix,low,and
1,17,no_prefix,low,and
1,38,no_prefix,low,then
2,13,no_prefix,low,and
2,17,no_prefix,low,and
2,38,no_prefix,med,then
3,13,no_prefix,low,and
3,17,no_prefix,low,and
3,38,no_prefix,high,then
4,13,no_prefix,low,and
4,17,no_prefix,high,and
4,26,no_prefix,low,then
5,13,no_prefix,low,and
5,17,no_prefix,med,and
5,42,no_prefix,low,then
6,13,no_prefix,low,and
6,17,no_prefix,med,and
6,42,no_prefix,med,then
7,13,no_prefix,low,and
7,17,no_prefix,med,and
7,42,no_prefix,high,then
8,13,no_prefix,med,and
8,26,no_prefix,med,and
8,42,no_prefix,low,then
9,13,no_prefix,med,and
9,26,no_prefix,low,and
9,42,no_prefix,low,then
10,13,no_prefix,med,and
10,26,no_prefix,med,and
10,42,no_prefix,med,then
11,13,no_prefix,med,and
11,26,no_prefix,low,and
11,42,no_prefix,med,then
12,10,no_prefix,high,and
12,13,no_prefix,med,and
12,26,no_prefix,high,then
13,10,no_prefix,high,and
13,13,no_prefix,high,and
13,26,no_prefix,high,then
14,13,no_prefix,low,and
14,17,no_prefix,low,and
14,38,no_prefix,low,then
15,13,no_prefix,low,and
15,17,no_prefix,low,and
15,26,no_prefix,low,and
15,38,no_prefix,med,then
16,13,no_prefix,low,and
16,17,no_prefix,low,and
16,26,no_prefix,med,and
16,38,no_prefix,med,then
17,13,no_prefix,low,and
17,17,no_prefix,low,and
17,26,no_prefix,high,and
17,38,no_prefix,med,then
18,13,no_prefix,low,and
18,17,no_prefix,low,and
18,38,no_prefix,high,then
19,13,no_prefix,low,and
19,16,no_prefix,low,and
19,17,no_prefix,med,and
19,42,no_prefix,low,then
20,13,no_prefix,low,and
20,16,no_prefix,med,and
20,17,no_prefix,med,and
20,42,no_prefix,low,then
21,13,no_prefix,low,and
21,17,no_prefix,med,and
21,42,no_prefix,med,then
22,13,no_prefix,low,and
22,17,no_prefix,med,and
22,21,no_prefix,low,and
22,42,no_prefix,high,then
23,13,no_prefix,low,and
23,17,no_prefix,med,and
23,21,no_prefix,med,and
23,42,no_prefix,high,then
24,13,no_prefix,low,and
24,17,no_prefix,med,and
24,21,no_prefix,high,and
24,42,no_prefix,high,then
25,13,no_prefix,low,and
25,17,no_prefix,high,and
25,23,no_prefix,low,and
25,26,no_prefix,low,then
26,13,no_prefix,low,and
26,17,no_prefix,high,and
26,23,no_prefix,med,and
26,26,no_prefix,low,then
27,13,no_prefix,low,and
27,17,no_prefix,high,and
27,23,no_prefix,high,and
27,26,no_prefix,low,then
28,13,no_prefix,low,and
28,17,no_prefix,high,and
28,26,no_prefix,med,then
29,13,no_prefix,med,and
29,17,no_prefix,low,and
29,26,no_prefix,low,and
29,42,no_prefix,low,then
30,13,no_prefix,med,and
30,17,no_prefix,high,and
30,26,no_prefix,low,and
30,42,no_prefix,low,then
31,13,no_prefix,med,and
31,21,no_prefix,low,and
31,26,no_prefix,low,and
31,42,no_prefix,med,then
32,13,no_prefix,med,and
32,21,no_prefix,high,and
32,26,no_prefix,low,and
32,42,no_prefix,med,then
33,10,no_prefix,low,and
33,13,no_prefix,med,and
33,26,no_prefix,high,then
34,10,no_prefix,med,and
34,13,no_prefix,med,and
34,26,no_prefix,high,then
35,10,no_prefix,high,and
35,13,no_prefix,med,and
35,24,no_prefix,low,and
35,26,no_prefix,high,then
36,10,no_prefix,high,and
36,13,no_prefix,med,and
36,24,no_prefix,med,and
36,26,no_prefix,high,then
37,10,no_prefix,high,and
37,13,no_prefix,med,and
37,24,no_prefix,high,and
37,26,no_prefix,high,then
38,13,no_prefix,high,and
38,17,no_prefix,low,and
38,19,no_prefix,low,and
38,34,no_prefix,low,then
39,13,no_prefix,high,and
